縣市別代碼,測站名稱,測站代號,民國年,月,日,總懸浮微粒_μg/m3
66000,中山國小,3408710A0013,112,10,20,30
66000,梧棲衛生所,3409110A0005,112,11,3,76.4
66000,梧棲衛生所,3409110A0005,112,11,17,115.8
66000,霧峰線路中心,3410310A0015,112,11,3,70
66000,霧峰線路中心,3410310A0015,112,11,17,72
66000,文山國小,3432410A0011,112,11,3,52.5
66000,文山國小,3432410A0011,112,11,17,84.4
66000,中山國小,3408710A0013,112,11,3,23.5
66000,中山國小,3408710A0013,112,11,17,35
66000,梧棲衛生所,3409110A0005,112,12,8,125.5
66000,梧棲衛生所,3409110A0005,112,12,22,117.8
66000,霧峰線路中心,3410310A0015,112,12,8,91
66000,霧峰線路中心,3410310A0015,112,12,22,50.1
66000,文山國小,3432410A0011,112,12,8,63.8
66000,文山國小,3432410A0011,112,12,22,44.7
66000,中山國小,3408710A0013,112,12,8,43
66000,中山國小,3408710A0013,112,12,22,19.4
66000,梧棲衛生所,3409110A0005,113,1,5,88.9
66000,梧棲衛生所,3409110A0005,113,1,19,61.9
66000,霧峰線路中心,3410310A0015,113,1,5,79.7
66000,霧峰線路中心,3410310A0015,113,1,19,81.6
66000,文山國小,3432410A0011,113,1,5,52.6
66000,文山國小,3432410A0011,113,1,19,71.8
66000,中山國小,3408710A0013,113,1,5,34.4
66000,中山國小,3408710A0013,113,1,19,29.5
66000,梧棲衛生所,3409110A0005,113,2,9,28.3
66000,梧棲衛生所,3409110A0005,113,2,23,63.9
66000,霧峰線路中心,3410310A0015,113,2,9,23.3
66000,霧峰線路中心,3410310A0015,113,2,23,51.5
66000,文山國小,3432410A0011,113,2,9,23.2
66000,文山國小,3432410A0011,113,2,23,47.5
66000,中山國小,3408710A0013,113,2,9,3.9
66000,中山國小,3408710A0013,113,2,23,18.8
66000,梧棲衛生所,3409110A0005,113,3,8,151.5
66000,梧棲衛生所,3409110A0005,113,3,22,103.1
66000,霧峰線路中心,3410310A0015,113,3,8,84.6
66000,霧峰線路中心,3410310A0015,113,3,22,62.9
66000,文山國小,3432410A0011,113,3,8,76.8
66000,文山國小,3432410A0011,113,3,22,85.9
66000,中山國小,3408710A0013,113,3,8,54.5
66000,中山國小,3408710A0013,113,3,22,40.4
66000,梧棲衛生所,3409110A0005,113,4,8,68.1
66000,梧棲衛生所,3409110A0005,113,4,26,113.2
66000,霧峰線路中心,3410310A0015,113,4,8,63
66000,霧峰線路中心,3410310A0015,113,4,26,82.1
66000,文山國小,3432410A0011,113,4,8,55.4
66000,文山國小,3432410A0011,113,4,26,16.3
66000,中山國小,3408710A0013,113,4,8,40
66000,中山國小,3408710A0013,113,4,26,39.6
66000,梧棲衛生所,3409110A0005,113,5,8,78.3
66000,梧棲衛生所,3409110A0005,113,5,24,56.8
66000,霧峰線路中心,3410310A0015,113,5,8,65.1
66000,霧峰線路中心,3410310A0015,113,5,24,46.4
66000,文山國小,3432410A0011,113,5,8,60.5
66000,文山國小,3432410A0011,113,5,24,36.2
66000,中山國小,3408710A0013,113,5,8,51.3
66000,中山國小,3408710A0013,113,5,24,21.7
66000,梧棲衛生所,3409110A0005,113,6,11,46.3
66000,梧棲衛生所,3409110A0005,113,6,26,65.7
66000,霧峰線路中心,3410310A0015,113,6,11,26.2
66000,霧峰線路中心,3410310A0015,113,6,26,67.8
66000,文山國小,3432410A0011,113,6,11,33.9
66000,文山國小,3432410A0011,113,6,26,57.1
66000,中山國小,3408710A0013,113,6,11,12.6
66000,中山國小,3408710A0013,113,6,26,22.9
66000,梧棲衛生所,3409110A0005,113,7,12,44.3
66000,梧棲衛生所,3409110A0005,113,7,22,66.7
66000,霧峰線路中心,3410310A0015,113,7,12,50.7
66000,霧峰線路中心,3410310A0015,113,7,22,57.2
66000,文山國小,3432410A0011,113,7,12,35.7
66000,文山國小,3432410A0011,113,7,22,53.4
66000,中山國小,3408710A0013,113,7,12,24.2
66000,中山國小,3408710A0013,113,7,22,29.9
66000,梧棲衛生所,3409110A0005,113,8,9,49.8
66000,梧棲衛生所,3409110A0005,113,8,23,69.2
66000,霧峰線路中心,3410310A0015,113,8,9,41
66000,霧峰線路中心,3410310A0015,113,8,23,81
66000,文山國小,3432410A0011,113,8,9,40.9
66000,文山國小,3432410A0011,113,8,23,79.4
66000,中山國小,3408710A0013,113,8,9,31.7
66000,中山國小,3408710A0013,113,8,23,27.6
66000,梧棲衛生所,3409110A0005,113,9,6,53.5
66000,梧棲衛生所,3409110A0005,113,9,20,48.5
66000,霧峰線路中心,3410310A0015,113,9,6,28.2
66000,霧峰線路中心,3410310A0015,113,9,20,23.8
66000,文山國小,3432410A0011,113,9,6,38.5
66000,文山國小,3432410A0011,113,9,20,82.5
66000,中山國小,3408710A0013,113,9,6,22.8
66000,中山國小,3408710A0013,113,9,20,24.9
66000,梧棲衛生所,3409110A0005,113,10,11,48
66000,梧棲衛生所,3409110A0005,113,10,25,99
66000,霧峰線路中心,3410310A0015,113,10,11,26.8
66000,霧峰線路中心,3410310A0015,113,10,25,65.1
66000,文山國小,3432410A0011,113,10,11,83
66000,文山國小,3432410A0011,113,10,25,113.9
66000,中山國小,3408710A0013,113,10,11,11.7
66000,中山國小,3408710A0013,113,10,25,58.7
66000,梧棲衛生所,3409110A0005,113,11,8,101.3
66000,梧棲衛生所,3409110A0005,113,11,22,74.3
66000,霧峰線路中心,3410310A0015,113,11,8,48.1
66000,霧峰線路中心,3410310A0015,113,11,22,30.2
66000,文山國小,3432410A0011,113,11,8,40
66000,文山國小,3432410A0011,113,11,22,25.7
66000,中山國小,3408710A0013,113,11,8,23.6
66000,中山國小,3408710A0013,113,11,22,4.8
66000,梧棲衛生所,3409110A0005,113,12,13,135.5
66000,梧棲衛生所,3409110A0005,113,12,23,64.3
66000,霧峰線路中心,3410310A0015,113,12,13,58.4
66000,霧峰線路中心,3410310A0015,113,12,23,66.6
66000,文山國小,3432410A0011,113,12,13,50.5
66000,文山國小,3432410A0011,113,12,23,38.8
66000,中山國小,3408710A0013,113,12,13,31.7
66000,中山國小,3408710A0013,113,12,23,5.6
66000,梧棲衛生所,3409110A0005,114,1,6,130.6
66000,梧棲衛生所,3409110A0005,114,1,21,148.1
66000,霧峰線路中心,3410310A0015,114,1,6,61.7
66000,霧峰線路中心,3410310A0015,114,1,21,60.9
66000,文山國小,3432410A0011,114,1,6,111.9
66000,文山國小,3432410A0011,114,1,21,144.3
66000,中山國小,3408710A0013,114,1,6,35.5
66000,中山國小,3408710A0013,114,1,21,23.1
66000,梧棲衛生所,3409110A0005,114,2,4,87.4
66000,梧棲衛生所,3409110A0005,114,2,19,65
66000,霧峰線路中心,3410310A0015,114,2,4,62.5
66000,霧峰線路中心,3410310A0015,114,2,19,77.6
66000,文山國小,3432410A0011,114,2,4,68.3
66000,文山國小,3432410A0011,114,2,19,75
66000,中山國小,3408710A0013,114,2,4,8.6
66000,中山國小,3408710A0013,114,2,19,36.9
66000,梧棲衛生所,3409110A0005,114,3,5,75.3
66000,梧棲衛生所,3409110A0005,114,3,24,102.7
66000,霧峰線路中心,3410310A0015,114,3,5,52.7
66000,霧峰線路中心,3410310A0015,114,3,24,77.2
66000,文山國小,3432410A0011,114,3,5,106.4
66000,文山國小,3432410A0011,114,3,24,84.1
66000,中山國小,3408710A0013,114,3,5,43.4
66000,中山國小,3408710A0013,114,3,24,47.5
66000,梧棲衛生所,3409110A0005,114,4,10,113.9
66000,梧棲衛生所,3409110A0005,114,4,24,73.4
66000,霧峰線路中心,3410310A0015,114,4,10,70.3
66000,霧峰線路中心,3410310A0015,114,4,24,84.2
66000,文山國小,3432410A0011,114,4,10,36
66000,文山國小,3432410A0011,114,4,24,93.5
66000,中山國小,3408710A0013,114,4,10,54.6
66000,中山國小,3408710A0013,114,4,24,45.3
